"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.wjholden.nmap","src/com/wjholden/nmap/NmapConstants.java","3","12","An Interface should be used only to model a behaviour; consider converting this to a class.","Design Rules","AvoidConstantsInterface"
"2","com.wjholden.nmap","src/com/wjholden/nmap/NmapConstants.java","3","68","Avoid excessively long variable names like MENU_ITEM_DEBUG_ENABLE","Naming Rules","LongVariable"
"3","com.wjholden.nmap","src/com/wjholden/nmap/NmapConstants.java","3","73","Avoid excessively long variable names like MENU_ITEM_DEBUG_EMAIL","Naming Rules","LongVariable"
"4","com.wjholden.nmap","src/com/wjholden/nmap/NmapConstants.java","3","78","Avoid excessively long variable names like MENU_ITEM_MORE_HELP","Naming Rules","LongVariable"
"5","com.wjholden.nmap","src/com/wjholden/nmap/NmapConstants.java","3","83","Avoid excessively long variable names like MENU_ITEM_REINSTALL","Naming Rules","LongVariable"
"6","com.wjholden.nmap","src/com/wjholden/nmap/NmapConstants.java","3","91","Avoid excessively long variable names like MENU_GROUP_EXTRA_OPTIONS","Naming Rules","LongVariable"
"7","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","3","33","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"8","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","3","41","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"9","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","3","49","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"10","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","3","69","Local variable 'msg' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"11","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","3","73","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"12","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","3","94","Local variable 'msg' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"13","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","3","99","Local variable 'msg' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"14","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","3","132","Local variable 'buf' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"15","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","3","135","Local variable 'in_nmap_a' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"16","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","3","195","Avoid excessively long variable names like installationResults","Naming Rules","LongVariable"
"17","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","3","200","Avoid variables with short names like os","Naming Rules","ShortVariable"
"18","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","3","201","Avoid variables with short names like in","Naming Rules","ShortVariable"
"19","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","3","240","Avoid assignments in operands","Controversial Rules","AssignmentInOperand"
"20","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","5","240","Found 'DU'-anomaly for variable 'input' (lines '240'-'265').","Controversial Rules","DataflowAnomalyAnalysis"
"21","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","3","244","Avoid assignments in operands","Controversial Rules","AssignmentInOperand"
"22","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","5","244","Found 'DU'-anomaly for variable 'error' (lines '244'-'265').","Controversial Rules","DataflowAnomalyAnalysis"
"23","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","1","A high number of imports can indicate a high degree of coupling within an object.","Coupling Rules","ExcessiveImports"
"24","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","43","The class 'NmapMain' has a Cyclomatic Complexity of 5 (Highest = 20).","Code Size Rules","CyclomaticComplexity"
"25","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","43","This class has too many methods, consider refactoring it.","Code Size Rules","TooManyMethods"
"26","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","43","Too many fields","Code Size Rules","TooManyFields"
"27","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","110","Avoid variables with short names like sh","Naming Rules","ShortVariable"
"28","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","125","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"29","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","130","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"30","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","142","Avoid variables with short names like pd","Naming Rules","ShortVariable"
"31","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","147","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"32","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","152","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"33","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","152","Perhaps 'preferencesEditor' could be replaced by a local variable.","Design Rules","SingularField"
"34","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","166","Avoid variables with short names like ne","Naming Rules","ShortVariable"
"35","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","171","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"36","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","171","Perhaps 'wifiManager' could be replaced by a local variable.","Design Rules","SingularField"
"37","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","176","Perhaps 'wifiInfo' could be replaced by a local variable.","Design Rules","SingularField"
"38","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","179","Avoid excessively long variable names like savedInstanceState","Naming Rules","LongVariable"
"39","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","179","Avoid really long methods.","Code Size Rules","ExcessiveMethodLength"
"40","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","179","Parameter 'savedInstanceState' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"41","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","179","The method 'onCreate' has a Cyclomatic Complexity of 20.","Code Size Rules","CyclomaticComplexity"
"42","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","179","The method onCreate() has an NPath complexity of 900","Code Size Rules","NPathComplexity"
"43","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","188","Local variable 'target' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"44","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","192","Local variable 'args' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"45","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","200","The String literal 'installVerified' appears 4 times in this file; the first occurrence is on line 200","String and StringBuffer Rules","AvoidDuplicateLiterals"
"46","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","202","The String literal 'hasRunOneScan' appears 4 times in this file; the first occurrence is on line 202","String and StringBuffer Rules","AvoidDuplicateLiterals"
"47","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","204","The String literal 'canGetRoot' appears 4 times in this file; the first occurrence is on line 204","String and StringBuffer Rules","AvoidDuplicateLiterals"
"48","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","230","Local variable 'curVersion' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"49","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","252","Avoid variables with short names like v","Naming Rules","ShortVariable"
"50","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","252","Parameter 'v' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"51","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","257","Avoid excessively long variable names like targetAndArguments","Naming Rules","LongVariable"
"52","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","5","257","Found 'DU'-anomaly for variable 'targetAndArguments' (lines '257'-'318').","Controversial Rules","DataflowAnomalyAnalysis"
"53","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","5","257","Found 'DU'-anomaly for variable 'targetAndArguments' (lines '257'-'318').","Controversial Rules","DataflowAnomalyAnalysis"
"54","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","5","257","Found 'DU'-anomaly for variable 'targetAndArguments' (lines '257'-'318').","Controversial Rules","DataflowAnomalyAnalysis"
"55","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","5","257","Found 'DU'-anomaly for variable 'targetAndArguments' (lines '257'-'318').","Controversial Rules","DataflowAnomalyAnalysis"
"56","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","286","Avoid variables with short names like v","Naming Rules","ShortVariable"
"57","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","286","Parameter 'v' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"58","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","310","Parameter 'v' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"59","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","2","322","Avoid instantiating String objects; this is usually unnecessary.","String and StringBuffer Rules","StringInstantiation"
"60","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","2","327","Avoid instantiating String objects; this is usually unnecessary.","String and StringBuffer Rules","StringInstantiation"
"61","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","344","Avoid excessively long variable names like savedInstanceState","Naming Rules","LongVariable"
"62","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","344","Parameter 'savedInstanceState' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"63","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","352","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"64","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","354","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"65","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","428","Local variable 'uri' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"66","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","442","Local variable 'surveyActivity' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"67","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","519","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"68","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","533","Avoid really long methods.","Code Size Rules","ExcessiveMethodLength"
"69","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","533","The method 'initHandler' has a Cyclomatic Complexity of 18.","Code Size Rules","CyclomaticComplexity"
"70","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","537","Avoid really long methods.","Code Size Rules","ExcessiveMethodLength"
"71","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","537","The method 'handleMessage' has a Cyclomatic Complexity of 17.","Code Size Rules","CyclomaticComplexity"
"72","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","5","539","Found 'DU'-anomaly for variable 'alert' (lines '539'-'647').","Controversial Rules","DataflowAnomalyAnalysis"
"73","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","5","539","Found 'DU'-anomaly for variable 'alert' (lines '539'-'647').","Controversial Rules","DataflowAnomalyAnalysis"
"74","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","5","539","Found 'DU'-anomaly for variable 'alert' (lines '539'-'647').","Controversial Rules","DataflowAnomalyAnalysis"
"75","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","545","An empty statement (semicolon) not part of a loop","Basic Rules","EmptyStatementNotInLoop"
"76","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","577","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"77","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","581","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"78","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","585","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"79","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","603","Avoid assignments in operands","Controversial Rules","AssignmentInOperand"
"80","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","5","603","Found 'DU'-anomaly for variable 'line' (lines '603'-'647').","Controversial Rules","DataflowAnomalyAnalysis"
"81","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","5","603","Found 'DU'-anomaly for variable 'line' (lines '603'-'647').","Controversial Rules","DataflowAnomalyAnalysis"
"82","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","5","603","Found 'DU'-anomaly for variable 'line' (lines '603'-'647').","Controversial Rules","DataflowAnomalyAnalysis"
"83","com.wjholden.nmap","src/com/wjholden/nmap/NmapScan.java","3","25","The class 'NmapScan' has a Cyclomatic Complexity of 10 (Highest = 21).","Code Size Rules","CyclomaticComplexity"
"84","com.wjholden.nmap","src/com/wjholden/nmap/NmapScan.java","3","29","Avoid variables with short names like os","Naming Rules","ShortVariable"
"85","com.wjholden.nmap","src/com/wjholden/nmap/NmapScan.java","3","29","Perhaps 'os' could be replaced by a local variable.","Design Rules","SingularField"
"86","com.wjholden.nmap","src/com/wjholden/nmap/NmapScan.java","3","30","Avoid variables with short names like in","Naming Rules","ShortVariable"
"87","com.wjholden.nmap","src/com/wjholden/nmap/NmapScan.java","3","30","Perhaps 'in' could be replaced by a local variable.","Design Rules","SingularField"
"88","com.wjholden.nmap","src/com/wjholden/nmap/NmapScan.java","3","31","Perhaps 'err' could be replaced by a local variable.","Design Rules","SingularField"
"89","com.wjholden.nmap","src/com/wjholden/nmap/NmapScan.java","3","32","Avoid variables with short names like p","Naming Rules","ShortVariable"
"90","com.wjholden.nmap","src/com/wjholden/nmap/NmapScan.java","3","32","Perhaps 'p' could be replaced by a local variable.","Design Rules","SingularField"
"91","com.wjholden.nmap","src/com/wjholden/nmap/NmapScan.java","3","78","Avoid really long methods.","Code Size Rules","ExcessiveMethodLength"
"92","com.wjholden.nmap","src/com/wjholden/nmap/NmapScan.java","3","78","The method 'doInBackground' has a Cyclomatic Complexity of 21.","Code Size Rules","CyclomaticComplexity"
"93","com.wjholden.nmap","src/com/wjholden/nmap/NmapScan.java","3","78","The method doInBackground() has an NPath complexity of 79872","Code Size Rules","NPathComplexity"
"94","com.wjholden.nmap","src/com/wjholden/nmap/NmapScan.java","5","80","Found 'DU'-anomaly for variable 'exeParams' (lines '80'-'233').","Controversial Rules","DataflowAnomalyAnalysis"
"95","com.wjholden.nmap","src/com/wjholden/nmap/NmapScan.java","5","88","Found 'DU'-anomaly for variable 'temporaryFolder' (lines '88'-'233').","Controversial Rules","DataflowAnomalyAnalysis"
"96","com.wjholden.nmap","src/com/wjholden/nmap/NmapScan.java","3","107","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"97","com.wjholden.nmap","src/com/wjholden/nmap/NmapScan.java","3","120","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"98","com.wjholden.nmap","src/com/wjholden/nmap/NmapScan.java","3","148","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"99","com.wjholden.nmap","src/com/wjholden/nmap/NmapScan.java","3","149","Avoid using if...else statements without curly braces","Braces Rules","IfElseStmtsMustUseBraces"
"100","com.wjholden.nmap","src/com/wjholden/nmap/NmapScan.java","3","181","Avoid assignments in operands","Controversial Rules","AssignmentInOperand"
"101","com.wjholden.nmap","src/com/wjholden/nmap/NmapScan.java","3","184","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"102","com.wjholden.nmap","src/com/wjholden/nmap/NmapScan.java","3","188","Local variable 'msg1' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"103","com.wjholden.nmap","src/com/wjholden/nmap/NmapScan.java","3","195","Local variable 'msg' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"104","com.wjholden.nmap","src/com/wjholden/nmap/NmapScan.java","3","203","Avoid assignments in operands","Controversial Rules","AssignmentInOperand"
"105","com.wjholden.nmap","src/com/wjholden/nmap/NmapScan.java","3","205","Local variable 'msg' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"106","com.wjholden.nmap","src/com/wjholden/nmap/NmapScan.java","3","211","Local variable 'msg' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"107","com.wjholden.nmap","src/com/wjholden/nmap/NmapScan.java","3","220","Local variable 'msg' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"108","com.wjholden.nmap","src/com/wjholden/nmap/NmapScan.java","3","228","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"109","com.wjholden.nmap","src/com/wjholden/nmap/NmapSurvey.java","3","39","Avoid excessively long variable names like savedInstanceState","Naming Rules","LongVariable"
"110","com.wjholden.nmap","src/com/wjholden/nmap/NmapSurvey.java","3","39","Parameter 'savedInstanceState' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"111","com.wjholden.nmap","src/com/wjholden/nmap/NmapSurvey.java","3","49","Avoid variables with short names like v","Naming Rules","ShortVariable"
"112","com.wjholden.nmap","src/com/wjholden/nmap/NmapSurvey.java","3","49","Parameter 'v' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"113","com.wjholden.nmap","src/com/wjholden/nmap/NmapSurvey.java","3","50","Local variable 'myUploadData' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"114","com.wjholden.nmap","src/com/wjholden/nmap/NmapSurvey.java","3","72","To be compliant to J2EE, a webapp should not use any thread.","J2EE Rules","DoNotUseThreads"
"115","com.wjholden.nmap","src/com/wjholden/nmap/NmapSurvey.java","3","77","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"116","com.wjholden.nmap","src/com/wjholden/nmap/NmapSurvey.java","3","82","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"117","com.wjholden.nmap","src/com/wjholden/nmap/NmapSurvey.java","3","87","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"118","com.wjholden.nmap","src/com/wjholden/nmap/NmapSurvey.java","3","97","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"119","com.wjholden.nmap","src/com/wjholden/nmap/NmapSurvey.java","3","113","Local variable 'client' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"120","com.wjholden.nmap","src/com/wjholden/nmap/NmapSurvey.java","3","114","Local variable 'url' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"121","com.wjholden.nmap","src/com/wjholden/nmap/NmapSurvey.java","3","115","Local variable 'uri' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"122","com.wjholden.nmap","src/com/wjholden/nmap/NmapSurvey.java","3","117","Local variable 'httppost' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"123","com.wjholden.nmap","src/com/wjholden/nmap/NmapUtilities.java","3","83","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"124","com.wjholden.nmap","src/com/wjholden/nmap/NmapUtilities.java","5","108","Found 'DD'-anomaly for variable 'dataDir' (lines '108'-'110').","Controversial Rules","DataflowAnomalyAnalysis"
